SUIT_1,RANK_1,SUIT_2,RANK_2,SUIT_3,RANK_3,SUIT_4,RANK_4,SUIT_5,RANK_5,Figura
corazones,10,corazones,J,corazones,K,corazones,Q,corazones,1,escalera_real
diamantes,J,diamantes,K,diamantes,10,diamantes,Q,diamantes,1,escalera_real
picas,Q,picas,J,picas,K,picas,10,picas,1,escalera_real
treboles,10,treboles,J,treboles,1,treboles,K,treboles,Q,escalera_real
treboles,1,treboles,K,treboles,Q,treboles,J,treboles,10,escalera_real
corazones,2,corazones,4,corazones,5,corazones,3,corazones,6,escalera_color
corazones,9,corazones,Q,corazones,10,corazones,J,corazones,K,escalera_color
diamantes,1,diamantes,2,diamantes,3,diamantes,4,diamantes,5,escalera_color
picas,5,picas,6,picas,9,picas,7,picas,8,escalera_color
treboles,1,treboles,4,treboles,2,treboles,3,treboles,5,escalera_color
corazones,1,diamantes,1,picas,9,corazones,5,diamantes,3,pareja
diamantes,6,diamantes,1,treboles,K,diamantes,4,treboles,9,no_hay_figura
corazones,10,treboles,6,corazones,2,corazones,1,picas,8,no_hay_figura
diamantes,K,diamantes,1,treboles,4,corazones,5,diamantes,J,no_hay_figura
picas,8,treboles,Q,picas,9,treboles,2,picas,2,pareja
corazones,3,treboles,7,corazones,5,diamantes,4,treboles,K,no_hay_figura
corazones,4,corazones,1,corazones,3,picas,5,picas,2,escalera
picas,8,picas,Q,diamantes,7,diamantes,6,corazones,2,no_hay_figura
treboles,8,corazones,J,treboles,6,picas,2,treboles,Q,no_hay_figura
picas,7,diamantes,7,treboles,J,corazones,Q,picas,1,pareja
corazones,K,treboles,8,diamantes,7,diamantes,10,picas,K,pareja
diamantes,6,diamantes,8,corazones,J,corazones,4,picas,7,no_hay_figura
picas,10,diamantes,10,treboles,5,corazones,2,picas,8,pareja
diamantes,1,picas,K,treboles,6,corazones,9,treboles,1,pareja
diamantes,10,diamantes,8,corazones,8,picas,2,diamantes,K,pareja
diamantes,K,corazones,5,treboles,5,treboles,8,picas,3,pareja
picas,1,corazones,5,diamantes,7,picas,K,corazones,1,pareja
corazones,7,corazones,5,treboles,8,corazones,6,diamantes,6,pareja
picas,7,picas,9,diamantes,Q,diamantes,5,treboles,4,no_hay_figura
diamantes,10,corazones,1,corazones,Q,treboles,6,diamantes,8,no_hay_figura
picas,K,diamantes,7,treboles,J,picas,J,diamantes,J,trio
treboles,2,diamantes,7,picas,K,diamantes,J,picas,10,no_hay_figura
corazones,J,diamantes,7,corazones,6,treboles,2,corazones,1,no_hay_figura
picas,4,treboles,3,picas,5,diamantes,Q,corazones,9,no_hay_figura
picas,2,corazones,6,diamantes,J,treboles,3,diamantes,10,no_hay_figura
treboles,8,treboles,3,treboles,K,treboles,Q,corazones,1,no_hay_figura
diamantes,6,treboles,8,treboles,3,diamantes,2,corazones,2,pareja
treboles,K,corazones,6,picas,8,corazones,3,diamantes,3,pareja
diamantes,9,diamantes,10,treboles,J,treboles,7,treboles,3,no_hay_figura
diamantes,10,picas,Q,corazones,2,diamantes,2,diamantes,K,pareja
diamantes,5,diamantes,Q,diamantes,3,corazones,2,picas,3,pareja
diamantes,8,picas,2,diamantes,5,corazones,Q,treboles,8,pareja
diamantes,1,treboles,7,treboles,6,treboles,5,corazones,5,pareja
picas,K,diamantes,1,picas,7,corazones,3,diamantes,6,no_hay_figura
treboles,10,treboles,K,picas,5,diamantes,8,corazones,10,pareja
corazones,2,corazones,J,picas,9,corazones,7,picas,5,no_hay_figura
diamantes,2,picas,1,diamantes,J,diamantes,6,treboles,4,no_hay_figura
corazones,10,treboles,1,treboles,4,treboles,Q,corazones,9,no_hay_figura
treboles,9,picas,K,diamantes,1,picas,9,treboles,Q,pareja
treboles,1,picas,1,corazones,3,treboles,4,diamantes,J,pareja
corazones,5,treboles,4,diamantes,K,picas,7,treboles,10,no_hay_figura
corazones,10,picas,7,corazones,3,picas,6,picas,8,no_hay_figura
treboles,2,picas,4,treboles,7,picas,9,diamantes,1,no_hay_figura
treboles,8,corazones,9,diamantes,4,corazones,J,diamantes,3,no_hay_figura
diamantes,7,treboles,K,diamantes,3,picas,4,diamantes,1,no_hay_figura
treboles,Q,diamantes,3,treboles,7,diamantes,5,treboles,1,no_hay_figura
diamantes,5,picas,K,picas,Q,picas,7,corazones,K,pareja
treboles,8,picas,2,diamantes,8,diamantes,9,picas,J,pareja
corazones,8,corazones,Q,diamantes,9,diamantes,6,picas,2,no_hay_figura
corazones,5,picas,K,diamantes,K,diamantes,7,treboles,5,doble_pareja
treboles,7,treboles,10,picas,1,picas,3,diamantes,5,no_hay_figura
picas,K,diamantes,2,treboles,10,picas,3,diamantes,K,pareja
corazones,5,picas,7,corazones,3,corazones,6,diamantes,8,no_hay_figura
corazones,2,treboles,3,diamantes,8,treboles,J,treboles,K,no_hay_figura
diamantes,1,corazones,4,treboles,1,treboles,J,picas,7,pareja
corazones,4,treboles,1,treboles,Q,diamantes,3,treboles,K,no_hay_figura
corazones,9,treboles,1,treboles,7,treboles,4,picas,2,no_hay_figura
treboles,3,picas,1,corazones,6,corazones,5,diamantes,10,no_hay_figura
diamantes,9,treboles,2,picas,3,diamantes,6,picas,9,pareja
picas,1,corazones,5,treboles,8,picas,10,picas,5,pareja
treboles,7,treboles,5,diamantes,9,picas,8,corazones,5,pareja
treboles,K,corazones,J,treboles,4,picas,5,treboles,1,no_hay_figura
treboles,K,picas,8,corazones,1,treboles,6,corazones,K,pareja
treboles,8,treboles,4,treboles,2,treboles,1,treboles,7,color
diamantes,3,treboles,10,picas,5,picas,K,treboles,3,pareja
corazones,4,diamantes,K,picas,1,treboles,4,treboles,1,doble_pareja
picas,2,treboles,10,diamantes,6,corazones,Q,picas,10,pareja
diamantes,J,picas,9,corazones,J,treboles,8,picas,8,doble_pareja
diamantes,4,corazones,4,diamantes,5,corazones,8,corazones,K,pareja
diamantes,K,corazones,9,corazones,2,corazones,4,treboles,4,pareja
treboles,2,picas,10,corazones,Q,picas,7,treboles,8,no_hay_figura
diamantes,6,corazones,K,treboles,5,diamantes,2,treboles,9,no_hay_figura
corazones,Q,treboles,5,treboles,K,picas,J,picas,10,no_hay_figura
diamantes,7,diamantes,3,picas,K,picas,J,corazones,4,no_hay_figura
diamantes,10,diamantes,J,diamantes,5,picas,6,diamantes,4,no_hay_figura
diamantes,Q,treboles,6,picas,9,treboles,1,treboles,Q,pareja
corazones,8,corazones,10,diamantes,K,picas,5,corazones,4,no_hay_figura
diamantes,7,corazones,4,diamantes,K,picas,2,treboles,Q,no_hay_figura
diamantes,7,treboles,Q,treboles,1,treboles,K,picas,J,no_hay_figura
corazones,9,picas,3,treboles,4,corazones,10,diamantes,1,no_hay_figura
diamantes,1,picas,Q,picas,8,corazones,2,picas,1,pareja
corazones,9,picas,10,corazones,8,treboles,4,corazones,5,no_hay_figura
diamantes,1,diamantes,8,diamantes,6,picas,1,picas,4,pareja
treboles,J,picas,Q,picas,4,treboles,Q,treboles,7,pareja
picas,2,treboles,Q,picas,8,diamantes,7,picas,J,no_hay_figura
picas,Q,diamantes,Q,diamantes,8,picas,J,corazones,6,pareja
picas,7,corazones,8,corazones,7,treboles,Q,diamantes,8,doble_pareja
corazones,9,treboles,6,treboles,9,diamantes,9,corazones,1,trio
picas,10,corazones,7,treboles,7,treboles,6,corazones,J,pareja
diamantes,10,corazones,4,picas,Q,treboles,9,diamantes,9,pareja
diamantes,J,diamantes,3,picas,1,diamantes,9,picas,2,no_hay_figura
corazones,K,corazones,3,corazones,Q,treboles,J,diamantes,Q,pareja
diamantes,7,corazones,6,picas,6,treboles,K,treboles,9,pareja
diamantes,1,picas,2,diamantes,10,treboles,1,treboles,Q,pareja
diamantes,2,diamantes,8,treboles,9,picas,Q,treboles,5,no_hay_figura
treboles,9,diamantes,J,treboles,7,picas,Q,corazones,4,no_hay_figura
corazones,6,picas,9,diamantes,8,diamantes,2,treboles,9,pareja
corazones,7,treboles,4,treboles,Q,picas,7,diamantes,2,pareja
treboles,10,diamantes,1,treboles,J,picas,J,diamantes,J,trio
picas,Q,corazones,1,picas,K,treboles,J,diamantes,7,no_hay_figura
treboles,5,picas,J,diamantes,7,treboles,8,picas,8,pareja
picas,4,diamantes,J,treboles,8,corazones,Q,treboles,6,no_hay_figura
treboles,1,picas,10,picas,3,picas,K,picas,J,no_hay_figura
diamantes,2,picas,4,treboles,K,corazones,5,diamantes,K,pareja
corazones,2,diamantes,9,corazones,Q,picas,10,corazones,J,no_hay_figura
corazones,3,diamantes,1,picas,K,picas,4,corazones,9,no_hay_figura
picas,6,diamantes,K,treboles,K,picas,10,diamantes,Q,pareja
picas,9,treboles,Q,treboles,10,corazones,3,corazones,6,no_hay_figura
treboles,7,picas,2,treboles,5,picas,9,diamantes,5,pareja
treboles,2,diamantes,7,picas,K,diamantes,Q,corazones,7,pareja
diamantes,3,corazones,5,picas,7,treboles,1,picas,8,no_hay_figura
diamantes,9,corazones,4,diamantes,5,diamantes,10,treboles,1,no_hay_figura
picas,1,treboles,10,diamantes,10,corazones,5,diamantes,J,pareja
diamantes,K,treboles,6,corazones,J,picas,3,treboles,7,no_hay_figura
treboles,J,picas,K,corazones,1,corazones,K,diamantes,2,pareja
diamantes,Q,diamantes,4,picas,2,diamantes,7,treboles,Q,pareja
corazones,2,treboles,2,treboles,10,diamantes,J,picas,1,pareja
corazones,4,corazones,3,corazones,Q,treboles,8,treboles,K,no_hay_figura
treboles,J,treboles,Q,picas,4,corazones,9,diamantes,K,no_hay_figura
diamantes,10,picas,9,treboles,K,corazones,Q,diamantes,7,no_hay_figura
treboles,J,treboles,8,picas,2,treboles,10,picas,3,no_hay_figura
diamantes,10,treboles,3,treboles,J,corazones,4,diamantes,7,no_hay_figura
picas,10,corazones,9,treboles,3,diamantes,4,corazones,4,pareja
picas,Q,picas,10,treboles,6,diamantes,6,diamantes,K,pareja
corazones,J,picas,5,diamantes,K,treboles,Q,diamantes,2,no_hay_figura
picas,6,treboles,2,picas,10,diamantes,7,corazones,8,no_hay_figura
treboles,Q,picas,1,diamantes,K,diamantes,6,diamantes,1,pareja
picas,Q,treboles,2,treboles,3,picas,K,diamantes,8,no_hay_figura
treboles,Q,diamantes,9,diamantes,5,diamantes,Q,picas,10,pareja
diamantes,5,diamantes,2,diamantes,8,treboles,6,corazones,9,no_hay_figura
picas,2,treboles,7,treboles,4,treboles,5,corazones,3,no_hay_figura
treboles,1,treboles,7,picas,6,diamantes,3,treboles,10,no_hay_figura
picas,10,corazones,7,treboles,7,diamantes,6,diamantes,4,pareja
corazones,J,picas,3,treboles,Q,corazones,4,corazones,6,no_hay_figura
corazones,2,picas,4,corazones,Q,diamantes,8,picas,1,no_hay_figura
treboles,5,treboles,7,picas,1,picas,9,diamantes,3,no_hay_figura
diamantes,K,treboles,5,diamantes,J,picas,9,treboles,10,no_hay_figura
picas,7,diamantes,3,picas,Q,diamantes,10,diamantes,2,no_hay_figura
corazones,K,corazones,8,treboles,6,corazones,J,diamantes,7,no_hay_figura
treboles,Q,diamantes,2,treboles,J,treboles,3,picas,1,no_hay_figura
corazones,K,diamantes,5,treboles,Q,diamantes,Q,treboles,1,pareja
picas,7,corazones,9,diamantes,2,treboles,6,treboles,1,no_hay_figura
treboles,8,treboles,10,treboles,5,corazones,J,corazones,9,no_hay_figura
corazones,8,treboles,7,treboles,K,diamantes,6,picas,6,pareja
treboles,5,diamantes,4,picas,9,corazones,10,diamantes,K,no_hay_figura
treboles,3,diamantes,2,treboles,10,corazones,4,treboles,J,no_hay_figura
picas,8,corazones,8,diamantes,5,picas,3,picas,1,pareja
picas,7,diamantes,5,corazones,J,picas,4,picas,5,pareja
diamantes,4,corazones,4,corazones,7,treboles,8,corazones,5,pareja
diamantes,10,picas,10,diamantes,K,diamantes,6,corazones,6,doble_pareja
treboles,9,picas,J,picas,8,corazones,4,picas,K,no_hay_figura
treboles,7,diamantes,Q,picas,3,corazones,8,corazones,7,pareja
corazones,5,corazones,1,picas,3,diamantes,Q,picas,J,no_hay_figura
corazones,4,corazones,6,treboles,K,diamantes,K,treboles,3,pareja
treboles,3,diamantes,K,diamantes,4,picas,7,corazones,2,no_hay_figura
diamantes,7,treboles,10,corazones,10,corazones,2,treboles,5,pareja
diamantes,9,diamantes,4,corazones,10,picas,7,diamantes,7,pareja
